normalized_vendor_name,county,row_id,vendor_name
bat tactical (bay area tactical group),santa-cruz,,BAT Tactical (Bay Area Tactical Group)
"mcgrew & associates, inc.",santa-cruz,,"McGrew & Associates, Inc."
bullseye tactical firearms,shasta,,Bullseye Tactical Firearms
nice shot,shasta,,Nice Shot
nice shot,sierra,,Nice Shot
state of jefferson firearms,shasta,,State of Jefferson Firearms
jones fort,shasta,,Jones Fort
jones fort,siskiyou,,Jones Fort
shasta defense,shasta,,Shasta Defense
shasta defense,tehama,,Shasta Defense
k2 defense academy,shasta,,K2 Defense Academy
k2 defense academy,tehama,,K2 Defense Academy
twin cities rod & gun,sierra,,Twin Cities Rod & Gun
bullseye tactical firearms training,siskiyou,,Bullseye Tactical Firearms Training
29 outdoor gear,solano,,29 Outdoor Gear
bay area tactical,solano,,Bay Area Tactical
blue ridge consulting and firearms,solano,,Blue Ridge Consulting and Firearms
dobbs firearm training,solano,,Dobbs Firearm Training
dobbs firearm training,contra-costa,,Dobbs Firearm Training
"shields defense, llc",solano,,"Shields Defense, LLC"
split fire firearms training,solano,,Split Fire Firearms Training
2nd amendment firearms academy,sonoma,,2nd AMENDMENT FIREARMS ACADEMY
2nd amendment firearms academy,contra-costa,,2nd Amendment Firearms Academy
titan protective training,sonoma,,Titan Protective Training
ferguson arms llc,sonoma,,Ferguson Arms LLC
g4 firearms,sonoma,,G4 Firearms
trident firearms academy,stanislaus,,Trident Firearms Academy
"valley defense consulting, inc.",stanislaus,,"Valley Defense Consulting, Inc."
fred's firearms,stanislaus,,Fred's Firearms
"hammer stryke self-reliance training, inc",stanislaus,,"Hammer Stryke Self-Reliance Training, Inc"
rosengarten firearms trainings,stanislaus,,Rosengarten Firearms Trainings
kiwi's custom guns inc.,stanislaus,,Kiwi's Custom Guns Inc.
stage stop sporting goods,stanislaus,,Stage Stop Sporting Goods
twin cities rod and gun,sutter,,Twin Cities Rod and Gun
conseale,sutter,,Conseale
conseale,yuba,,CONseale
nor-cal tactical,sutter,,Nor-Cal Tactical
shooter's paradise of yuba city,sutter,,Shooter's Paradise of Yuba City
sierra tactical training and active response,sutter,,Sierra Tactical Training and Active Response
greco's firearm sales,tehama,,Greco's Firearm Sales
jones' fort gun shop,tehama,,Jones' Fort Gun Shop
michigan firearm and cpl training llc,tehama,,Michigan Firearm and CPL Training LLC
star crossed firearms,tehama,,Star Crossed Firearms
zombie arms & ammuntion,tehama,,Zombie Arms & Ammuntion
morgan dant,trinity,,Morgan Dant
galardo firearms training,tulare,,Galardo Firearms Training
triple threat solutions,tulare,,Triple Threat Solutions
hard focus firearm training,tulare,,Hard Focus Firearm Training
tactical 360 firearms training,tulare,,Tactical 360 Firearms Training
police science institute and range pistol club,tulare,,Police Science Institute and Range Pistol Club
premier tactical training,tulare,,Premier Tactical Training
rankin field,tulare,,Rankin Field
kimes firearms training,tulare,,Kimes Firearms Training
shooter ready,tulare,,Shooter Ready
tactical firearms training institute,ventura,,Tactical Firearms Training Institute
california tactical academy,ventura,,California Tactical Academy
ventura ccw,ventura,,Ventura CCW
mv tactical & firearms,ventura,,MV Tactical & Firearms
critical advantage consulting,ventura,,Critical Advantage Consulting
action firearms training,ventura,,Action Firearms Training
true aim ccw certification,ventura,,True Aim CCW Certification
covered 6,ventura,,Covered 6
308 tactical,ventura,,308 Tactical
home grown safety,ventura,,Home Grown Safety
tim trinh,ventura,,Tim Trinh
martin rudzinski,ventura,,Martin Rudzinski
victor charlie armory,ventura,,Victor Charlie Armory
api academy,yuba,,API Academy
precision firearms training solutions,yuba,,Precision Firearms Training Solutions
shooters paradise,yuba,,Shooters Paradise
sttarr,yuba,,STTARR
twin cities rod and gun club,yuba,,Twin Cities Rod and Gun Club
friedman firearms training,contra-costa,,Friedman Firearms Training
delta tactical training group,contra-costa,,Delta Tactical Training Group
gun kraft,contra-costa,,Gun Kraft
"leo defensive concepts, llc",contra-costa,,"LEO Defensive Concepts, LLC"
dapper defense,contra-costa,,Dapper Defense
